slug,citation,auteur,date,note,categorie_liee,projet_lie,publie,source
avis-ebenisterie-2018,"Excellent travail. Quel plaisir de rencontrer enfin un ébéniste qui a l'amour du travail. Très à l'écoute. Travail sur mesure. Je recommande vivement.",Client particulier,2018-07-27,5,mobilier,meuble-tv-salon-contemporain,true,PagesJaunes
avis-sur-mesure-2017,"Voilà une entreprise qui propose du vrai sur mesure et des matériaux qui changent de l'ordinaire. J'ai un meuble qui ne ressemble à aucun autre. Merci à l'équipe pour vos conseils.",Client particulier,2017-07-19,5,mobilier,,true,PagesJaunes
